symbol,Lfront,Lnas,Lback,Lround,Lcons,Lcont,Lcoronal,LATR,Ldist,Lvoice,Ldel. rel.,Lc.g.,Lapprox,Llabial,Lhigh,Lstrid,Lant,Ldorsal,Ls.g.,Lson,Llat,Lsyll,Llow,Rvoice,Rfront,Rnas,Rback,Rround,Rcons,Rcont,Rcoronal,RATR,Rdist,Rdel.rel.,Rc.g.,Rapprox,Rlabial,Rhigh,Rstrid,Rant,Rdorsal,Rs.g.,Rson,Rlat,Rsyll,Rlow,target
a_a,+,-,-,-,-,+,-,-,0,+,0,-,+,-,-,0,0,+,-,+,-,+,+,+,+,-,-,-,-,+,-,-,0,0,-,+,-,-,0,0,+,-,+,-,+,+,0
i_a,+,-,-,-,-,+,-,+,0,+,0,-,+,-,+,0,0,+,-,+,-,+,-,+,+,-,-,-,-,+,-,-,0,0,-,+,-,-,0,0,+,-,+,-,+,+,0
o_a,-,-,+,+,-,+,-,+,0,+,0,-,+,+,-,0,0,+,-,+,-,+,-,+,+,-,-,-,-,+,-,-,0,0,-,+,-,-,0,0,+,-,+,-,+,+,0
u_a,-,-,+,+,-,+,-,+,0,+,0,-,+,+,+,0,0,+,-,+,-,+,-,+,+,-,-,-,-,+,-,-,0,0,-,+,-,-,0,0,+,-,+,-,+,+,0
e_a,+,-,-,-,-,+,-,+,0,+,0,-,+,-,-,0,0,+,-,+,-,+,-,+,+,-,-,-,-,+,-,-,0,0,-,+,-,-,0,0,+,-,+,-,+,+,0
#_l,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,-,0,0,+,-,+,0,-,+,0,-,+,-,0,0,+,-,-,+,+,-,0,0
a_o,+,-,-,-,-,+,-,-,0,+,0,-,+,-,-,0,0,+,-,+,-,+,+,-,-,+,+,-,+,-,+,0,+,0,-,+,+,-,0,0,+,-,+,-,+,-,0
#_l,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,-,0,0,+,-,+,0,-,+,0,-,+,-,0,0,+,-,-,+,+,-,0,0
#_e,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,+,-,-,-,-,+,-,+,0,+,0,-,+,-,-,0,0,+,-,+,-,+,-,0
#_l,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,-,0,0,+,-,+,0,-,+,0,-,+,-,0,0,+,-,-,+,+,-,0,0
#_o,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,-,-,+,+,-,+,-,+,0,+,0,-,+,+,-,0,0,+,-,+,-,+,-,0
#_v,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,-,0,0,+,+,-,0,-,+,+,-,-,+,0,+,0,-,-,-,-,-,0,0
#_a,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,+,-,-,-,-,+,-,-,0,+,0,-,+,-,-,0,0,+,-,+,-,+,+,0
#_r,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,-,0,0,+,+,+,0,-,+,0,-,+,-,0,0,+,-,-,+,-,-,0,0
l_a,0,-,0,0,+,-,+,0,-,+,0,-,+,-,0,0,+,-,-,+,+,-,0,+,-,-,-,-,+,-,-,0,+,0,-,+,-,-,0,0,+,-,+,-,+,+,0
a_#,+,-,-,-,-,+,-,-,0,+,0,-,+,-,-,0,0,+,-,+,-,+,+,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1
i_#,+,-,-,-,-,+,-,+,0,+,0,-,+,-,+,0,0,+,-,+,-,+,-,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1
o_#,-,-,+,+,-,+,-,+,0,+,0,-,+,+,-,0,0,+,-,+,-,+,-,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1
u_#,-,-,+,+,-,+,-,+,0,+,0,-,+,+,+,0,0,+,-,+,-,+,-,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1
e_#,+,-,-,-,-,+,-,+,0,+,0,-,+,-,-,0,0,+,-,+,-,+,-,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1
